ID;Preis pro Woche Langzeitkurs;Dauer der Kurse in Wochen Langzeitkurs;Preis pro Std. Intensivkurs;Dauer der Kurse in Std. Intensivkurs;Eigene Lernunterlagen;Kursart (Intensiv- oder Langzeitkurs);Experten;Unterrichttag;Standort;Pruefungsarchiv;Beratungsgespraech;Qualitaetsbewertung;info freien Plaetze?;Info zur Erfolgsquote;FAQ;Spezielles;Unterstuezung ausserhalb Unterrichtszeit;Nachholmoeglichkeiten
1;149.50;20;66.33;15;True;Beides;True;Dienstagabend, Mittwoch, Samstag;Zuerich HB, Bhf. Stadelhofen;True;True;1;True;False;True;Schulhund;True;True
2;163.33;18;61.33;15;True;Beides;True;Mittwoch, Samsatg, Sonntag;Stadelhofen, Kreuzplatz, Frauenzentrale;True;True;1;True;False;True;Videos;False;True
3;104.74;19;63.33;15;True;Beides;True;Mittwoch, Samsatg;Volkshaus Zuerich;False;False;2;True;False;False;Lernkarten;False;True
4;95.00;20;63.33;15;True;Beides;True;Mittwoch, Samsatg, Sonntag;Stadelhofen, Winterthur, Basel, Luzern, Zug;False;True;2;True;False;False;Lernberatung;False;True
5;120.00;20;54.55;16.5;True;Beides;True;Mittwoch, Samstag;Zuerich;False;True;1;False;False;False;Videos;False;False
6;180.00;22;48.84;25;True;Beides;True;Montag bis Samstag;Oerlikon, Winterthur, Stadelhafen, Basel;False;False;1;False;False;True;Einstufungtest;False;False
7;147.50;20;0.00;0;False;Lang;True;Mittwoch;Oerlikon;False;True;2;False;False;False;Toolbox;False;True
8;164.50;20;0.00;0;False;Lang;True;Mittwoch;Zuerich;False;True;2;False;False;False;Abo-Modell;False;False
9;117.00;20;39.00;22.5;False;Beides;True;Mittwoch;Zuerich;True;True;2;False;False;True;Einzelstunden;False;True
10;178.95;19;59.05;21;True;Beides;True;Mittwoch, Samstag;Buelach, Kloten, Uster, Wetzikon, Winterthur, Zuerich-City, Oerlikon, Stadelhofen;True;True;1;True;False;True;Kursmaterial ist digital;False;False
11;148.65;20;0.00;0;True;Lang;True;Mittwoch, Samstag;Stadelhofen, Baden;False;True;2;False;False;True;Mehrere Sprachen;False;False
12;125.00;20;64.06;16;True;Beides;True;Mittwoch, Freitag, Samstag;Meilen;True;True;1;False;False;True;Lernberatung;True;False
